talla;la;ma;sa;lo;mo;so
73.4;-0.3833;8.8443;0.09026;-0.3521;9.1716;0.08274
73.5;-0.3833;8.8638;0.09025;-0.3521;9.1927;0.08276
73.6;-0.3833;8.8831;0.09023;-0.3521;9.2137;0.08277
73.7;-0.3833;8.9025;0.09022;-0.3521;9.2347;0.08278
73.8;-0.3833;8.9217;0.09021;-0.3521;9.2557;0.08280
73.9;-0.3833;8.9410;0.09020;-0.3521;9.2766;0.08281
74.0;-0.3833;8.9601;0.09018;-0.3521;9.2974;0.08283
74.1;-0.3833;8.9792;0.09017;-0.3521;9.3182;0.08284
74.2;-0.3833;8.9983;0.09016;-0.3521;9.3390;0.08285
74.3;-0.3833;9.0173;0.09014;-0.3521;9.3597;0.08287
74.4;-0.3833;9.0363;0.09013;-0.3521;9.3803;0.08288
74.5;-0.3833;9.0552;0.09012;-0.3521;9.4010;0.08289
74.6;-0.3833;9.0740;0.09011;-0.3521;9.4215;0.08290
74.7;-0.3833;9.0928;0.09009;-0.3521;9.4420;0.08292
74.8;-0.3833;9.1116;0.09008;-0.3521;9.4625;0.08293
74.9;-0.3833;9.1303;0.09007;-0.3521;9.4829;0.08294
75.0;-0.3833;9.1490;0.09005;-0.3521;9.5032;0.08295
75.1;-0.3833;9.1676;0.09004;-0.3521;9.5235;0.08297
75.2;-0.3833;9.1862;0.09003;-0.3521;9.5438;0.08298
75.3;-0.3833;9.2048;0.09001;-0.3521;9.5639;0.08299
75.4;-0.3833;9.2233;0.09000;-0.3521;9.5841;0.08300
75.5;-0.3833;9.2418;0.08999;-0.3521;9.6041;0.08301
75.6;-0.3833;9.2602;0.08997;-0.3521;9.6241;0.08302
75.7;-0.3833;9.2786;0.08996;-0.3521;9.6440;0.08303
75.8;-0.3833;9.2970;0.08995;-0.3521;9.6639;0.08305
75.9;-0.3833;9.3154;0.08993;-0.3521;9.6836;0.08306
76.0;-0.3833;9.3337;0.08992;-0.3521;9.7033;0.08307
76.1;-0.3833;9.3520;0.08991;-0.3521;9.7230;0.08307
76.2;-0.3833;9.3703;0.08989;-0.3521;9.7425;0.08308
76.3;-0.3833;9.3886;0.08988;-0.3521;9.7620;0.08309
76.4;-0.3833;9.4069;0.08987;-0.3521;9.7814;0.08310
76.5;-0.3833;9.4252;0.08985;-0.3521;9.8007;0.08311
